source_id,source_type,source_name,doi,salt,temperature_c,concentration,concentration_unit,solvent_a,ratio_a,solvent_b,ratio_b,solvent_c,ratio_c,solvent_ratio_basis,component_count,solubility_mole_fraction,fully_dissolved,conductivity,conductivity_unit,viscosity_mpas,phase_stable_24h,phase_stable_7d,relative_uncertainty,notes
CALiSol-23:12510,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,1.0,mol/l,g-Butyrolactone,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12529,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,1.0,mol/l,DMF,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12832,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,1.0,mol/l,EC,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13186,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,0.2,mol/l,PC,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13187,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,1.0,mol/l,PC,100.0,,,,,v,1,,True,0.06,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13193,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,0.2,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13194,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,0.5,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13195,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,1.0,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13196,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,1.5,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13197,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,2.0,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13438,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,0.75,mol/l,TEOS,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13439,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,1.0,mol/l,THF,100.0,,,,,v,1,,True,2.29,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13440,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-50.0,1.0,mol/l,3-Glyme,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
